group_task,group_id,group_size,Omega_hat,task_id,revised_woc,initial_woc,influence,dataset,theta,revised_mse,initial_mse,revised_abs_error,initial_abs_error,revised_mse_zscore,initial_mse_zscore,revised_abs_error_zscore,initial_abs_error_zscore,improved
081119_1525_lorenz2017_task_184,081119_1525,12,0.4175999999999703,lorenz2017_task_184,133.33333333333334,312.3333333333333,1,lorenz2011,430.0,88011.1111111111,13845.444444444449,296.66666666666663,117.66666666666669,-0.2729517959438034,-0.2946901745511508,-0.1478834020155606,-0.37385624588787364,False
081119_1525_lorenz2017_task_734,081119_1525,12,0.4920999999999621,lorenz2017_task_734,394.75,995.8333333333334,1,lorenz2011,350.0,2002.5625,417100.6944444445,44.75,645.8333333333334,-0.2886751347783373,-0.28867514615263323,-0.28868989249289656,-0.28871270516994957,True
081119_1525_lorenz2017_task_10067,081119_1525,12,0.4721999999999643,lorenz2017_task_10067,37375.0,36333.333333333336,0,lorenz2011,12000.0,643890625.0,592111111.1111113,25375.0,24333.333333333336,2.3478361725889587,0.4734583210375809,2.078464088526962,0.7138238647153705,False
081119_1525_lorenz2017_task_198,081119_1525,12,0.6316999999999467,lorenz2017_task_198,224.33333333333334,253.66666666666666,1,lorenz2011,92.0,17512.111111111113,26136.11111111111,132.33333333333334,161.66666666666666,-0.3551709816661869,-0.5106672449608045,-0.4436926539377032,-0.6462554091084941,True
081119_1525_lorenz2017_task_639,081119_1525,12,0.6542999999999443,lorenz2017_task_639,83333580.75,2095.0,1,lorenz2011,98.0,6944469347244548.0,3988009.0,83333482.75,1997.0,3.1754264805429417,1.8230820637538336,3.1754264656612814,1.5686877158738455,False
081119_1525_lorenz2017_task_9272,081119_1525,12,0.6947999999999398,lorenz2017_task_9272,114087.33333333333,43876.0,0,lorenz2011,806.0,12832660481.777777,1855024900.0,113281.33333333333,43070.0,-0.11185492153243283,-0.30179000168898046,0.367122846625329,-0.25565913448637584,False
081120_0951_lorenz2017_task_184,081120_0951,12,0.4175999999999703,lorenz2017_task_184,343.6666666666667,1939.3333333333333,0,lorenz2011,430.0,7453.444444444442,2278087.111111111,86.33333333333331,1509.3333333333333,-0.30014438391331677,-0.27673237416249075,-0.3861837042206731,-0.1375428732032601,True
081120_0951_lorenz2017_task_734,081120_0951,12,0.4920999999999621,lorenz2017_task_734,354.0,246.0,1,lorenz2011,350.0,16.0,10816.0,4.0,104.0,-0.2886751347832259,-0.28867514741865385,-0.288693654896973,-0.2887690013990662,True
081120_0951_lorenz2017_task_10067,081120_0951,12,0.4721999999999643,lorenz2017_task_10067,22849.083333333332,25311.25,1,lorenz2011,12000.0,117702609.17361109,177189376.5625,10849.083333333332,13311.25,-0.07278825781209596,-0.45518043300206795,0.28021690596834614,-0.19202213985072378,True
081120_0951_lorenz2017_task_198,081120_0951,12,0.6316999999999467,lorenz2017_task_198,7145.583333333333,2956.25,0,lorenz2011,92.0,49753037.840277776,8203928.0625,7053.583333333333,2864.25,3.137818851049923,2.752664315320288,2.8854051573845036,2.342828510426226,False
